asset,family,near_model,far_model,animated,exact_reference_match
spotlight-tower,defenses,assets/spotlight-tower/spotlight-tower.gltf,assets/spotlight-tower/spotlight-tower-lod1.gltf,False,False
spike-gate,defenses,assets/spike-gate/spike-gate.gltf,assets/spike-gate/spike-gate-lod1.gltf,False,False
mine-marker,defenses,assets/mine-marker/mine-marker.gltf,assets/mine-marker/mine-marker-lod1.gltf,False,False
sandbag-scrap-firing-nest,defenses,assets/sandbag-scrap-firing-nest/sandbag-scrap-firing-nest.gltf,assets/sandbag-scrap-firing-nest/sandbag-scrap-firing-nest-lod1.gltf,False,False
improvised-anti-vehicle-barrier,defenses,assets/improvised-anti-vehicle-barrier/improvised-anti-vehicle-barrier.gltf,assets/improvised-anti-vehicle-barrier/improvised-anti-vehicle-barrier-lod1.gltf,False,False
push-cart,vehicles,assets/push-cart/push-cart.gltf,assets/push-cart/push-cart-lod1.gltf,False,False
utility-hauler,vehicles,assets/utility-hauler/utility-hauler.gltf,assets/utility-hauler/utility-hauler-lod1.gltf,False,False
scrap-buggy,vehicles,assets/scrap-buggy/scrap-buggy.gltf,assets/scrap-buggy/scrap-buggy-lod1.gltf,False,False
scrap-rifle,equipment,assets/scrap-rifle/scrap-rifle.gltf,assets/scrap-rifle/scrap-rifle-lod1.gltf,False,False
pipe-shotgun,equipment,assets/pipe-shotgun/pipe-shotgun.gltf,assets/pipe-shotgun/pipe-shotgun-lod1.gltf,False,False
compact-smg,equipment,assets/compact-smg/compact-smg.gltf,assets/compact-smg/compact-smg-lod1.gltf,False,False
engine-block,equipment,assets/engine-block/engine-block.gltf,assets/engine-block/engine-block-lod1.gltf,False,False
turret-module,equipment,assets/turret-module/turret-module.gltf,assets/turret-module/turret-module-lod1.gltf,False,False
meteor-power-cell,equipment,assets/meteor-power-cell/meteor-power-cell.gltf,assets/meteor-power-cell/meteor-power-cell-lod1.gltf,False,False
light-tower,utilities,assets/light-tower/light-tower.gltf,assets/light-tower/light-tower-lod1.gltf,False,False
scout,crew,assets/scout/scout.gltf,assets/scout/scout-lod1.gltf,False,False
licensed-driver,crew,assets/licensed-driver/licensed-driver.gltf,assets/licensed-driver/licensed-driver-lod1.gltf,False,False
heavy-vehicle-operator,crew,assets/heavy-vehicle-operator/heavy-vehicle-operator.gltf,assets/heavy-vehicle-operator/heavy-vehicle-operator-lod1.gltf,False,False
mercenary-ex-mil,crew,assets/mercenary-ex-mil/mercenary-ex-mil.gltf,assets/mercenary-ex-mil/mercenary-ex-mil-lod1.gltf,False,False
scout-trike,vehicles,assets/scout-trike/scout-trike.gltf,assets/scout-trike/scout-trike-lod1.gltf,False,False
improvised-launcher,equipment,assets/improvised-launcher/improvised-launcher.gltf,assets/improvised-launcher/improvised-launcher-lod1.gltf,False,False
rotary-gun,equipment,assets/rotary-gun/rotary-gun.gltf,assets/rotary-gun/rotary-gun-lod1.gltf,False,False
repair-welder,equipment,assets/repair-welder/repair-welder.gltf,assets/repair-welder/repair-welder-lod1.gltf,False,False
mining-drill,equipment,assets/mining-drill/mining-drill.gltf,assets/mining-drill/mining-drill-lod1.gltf,False,False
mercenary-free-agent,crew,assets/mercenary-free-agent/mercenary-free-agent.gltf,assets/mercenary-free-agent/mercenary-free-agent-lod1.gltf,False,False
flatbed-convoy-truck,vehicles,assets/flatbed-convoy-truck/flatbed-convoy-truck.gltf,assets/flatbed-convoy-truck/flatbed-convoy-truck-lod1.gltf,False,False
armored-bus,vehicles,assets/armored-bus/armored-bus.gltf,assets/armored-bus/armored-bus-lod1.gltf,False,False
tow-crawler,vehicles,assets/tow-crawler/tow-crawler.gltf,assets/tow-crawler/tow-crawler-lod1.gltf,False,False
lantern-scanner,equipment,assets/lantern-scanner/lantern-scanner.gltf,assets/lantern-scanner/lantern-scanner-lod1.gltf,False,False
bridge-kit,equipment,assets/bridge-kit/bridge-kit.gltf,assets/bridge-kit/bridge-kit-lod1.gltf,False,False
wheel-module,equipment,assets/wheel-module/wheel-module.gltf,assets/wheel-module/wheel-module-lod1.gltf,False,False
track-module,equipment,assets/track-module/track-module.gltf,assets/track-module/track-module-lod1.gltf,False,False
ruined-town-block,world,assets/ruined-town-block/ruined-town-block.gltf,assets/ruined-town-block/ruined-town-block-lod1.gltf,False,False
survivor-outpost-cluster,world,assets/survivor-outpost-cluster/survivor-outpost-cluster.gltf,assets/survivor-outpost-cluster/survivor-outpost-cluster-lod1.gltf,False,False
regional-scrap-market-gate,world,assets/regional-scrap-market-gate/regional-scrap-market-gate.gltf,assets/regional-scrap-market-gate/regional-scrap-market-gate-lod1.gltf,False,False
crane-truck,vehicles,assets/crane-truck/crane-truck.gltf,assets/crane-truck/crane-truck-lod1.gltf,False,False
rail-checkpoint,world,assets/rail-checkpoint/rail-checkpoint.gltf,assets/rail-checkpoint/rail-checkpoint-lod1.gltf,False,False
bridge-fragment,world,assets/bridge-fragment/bridge-fragment.gltf,assets/bridge-fragment/bridge-fragment-lod1.gltf,False,False
major-city-wall-section,world,assets/major-city-wall-section/major-city-wall-section.gltf,assets/major-city-wall-section/major-city-wall-section-lod1.gltf,False,False
drill-rig-vehicle,vehicles,assets/drill-rig-vehicle/drill-rig-vehicle.gltf,assets/drill-rig-vehicle/drill-rig-vehicle-lod1.gltf,False,False
major-city-tower-district,world,assets/major-city-tower-district/major-city-tower-district.gltf,assets/major-city-tower-district/major-city-tower-district-lod1.gltf,False,False
asteroid-impact-crater-rig,world,assets/asteroid-impact-crater-rig/asteroid-impact-crater-rig.gltf,assets/asteroid-impact-crater-rig/asteroid-impact-crater-rig-lod1.gltf,False,False
cargo-trailer,vehicles,assets/cargo-trailer/cargo-trailer.gltf,assets/cargo-trailer/cargo-trailer-lod1.gltf,False,False
meteor-reactor,world,assets/meteor-reactor/meteor-reactor.gltf,assets/meteor-reactor/meteor-reactor-lod1.gltf,False,False
sky-tracker-dish,world,assets/sky-tracker-dish/sky-tracker-dish.gltf,assets/sky-tracker-dish/sky-tracker-dish-lod1.gltf,False,False
field-ambulance-van,vehicles,assets/field-ambulance-van/field-ambulance-van.gltf,assets/field-ambulance-van/field-ambulance-van-lod1.gltf,False,False
strange-late-tech-salvage-structure,world,assets/strange-late-tech-salvage-structure/strange-late-tech-salvage-structure.gltf,assets/strange-late-tech-salvage-structure/strange-late-tech-salvage-structure-lod1.gltf,False,False
mercenary-carrier,vehicles,assets/mercenary-carrier/mercenary-carrier.gltf,assets/mercenary-carrier/mercenary-carrier-lod1.gltf,False,False
